Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Jay Valai,CB,Colleyville,TX,5'9'',195,NR,Wisconsin,,,,,2006,Wisconsin,,,
Mickey Turner,TE,Camdenton,MO,6'3'',240,75,Wisconsin,,41,,,2006,Wisconsin,,,
Scott Tolzien,QB,Palatine,IL,6'3'',185,66,Wisconsin,,123,155,NR,2006,Wisconsin,,,
Brad Thorson,OT,Mequon,WI,6'4'',290,NR,Wisconsin,,,,,2006,Wisconsin,,,
Culmer St. Jean,S,Naples,FL,6'1'',200,61,Wisconsin,,115,,,2006,Wisconsin,,,
Lance Smith,RB,Warren,OH,5'10'',190,81,Wisconsin,,14,12,6,2006,Wisconsin,,,
Kim Royston,CB,Minneapolis,MN,5'11'',175,75,Wisconsin,,50,66,NR,2006,Wisconsin,,,
Josh Nettles,S,De Funiak Springs,FL,5'11'',185,NR,Wisconsin,,NR,NR,NR,2006,Wisconsin,,,
Bill Nagy,OG,Hudson,OH,6'5'',295,67,Wisconsin,,148,91,56,2006,Wisconsin,,,
Maurice Moore,QB,Fort Worth,TX,5'11'',165,NR,Wisconsin,,,,,2006,Wisconsin,,,
John Moffitt,OT,West Haven,CT,6'4'',300,NR,Wisconsin,,,,,2006,Wisconsin,,,
Lance Kendricks,WR,Milwaukee,WI,6'4'',205,81,Wisconsin,,16,13,NR,2006,Wisconsin,,,
Daven Jones,WR,Cleveland,OH,6'1'',180,76,Wisconsin,,60,,,2006,Wisconsin,,,
Diondrae Jenkins,RB,Racine,WI,6'3'',190,NR,Wisconsin,,,,,2006,Wisconsin,,,
Jamathan Ingram-Lyle,CB,Boulder,CO,6'0'',170,75,Wisconsin,,47,,,2006,Wisconsin,,,
Brandon Hoey,DE,Arden Hills,MN,6'5'',265,71,Wisconsin,,87,100,,2006,Wisconsin,,,
Xavier Harris,WR,Fort Lauderdale,FL,5'10'',170,NR,Wisconsin,,NR,NR,NR,2006,Wisconsin,,,
Ricky Gardner Jr.,DE,Pasadena,CA,6'5'',225,NR,Wisconsin,,,,,2006,Wisconsin,,,
