Name,ID
Air Force,2005
Akron,2006
Alabama,333
Arizona,12
Arizona State,9
Arkansas,8
Arkansas State,2032
Army,349
Auburn,2
Ball State,2050
Baylor,239
Boise State,68
Boston College,103
Bowling Green,189
Brigham Young,252
Buffalo,2084
California,25
Central Michigan,2117
Cincinnati,2132
Clemson,228
Colorado,38
Colorado State,36
Connecticut,41
Duke,150
East Carolina,151
Eastern Michigan,2199
Florida,57
Florida Atlantic,2226
Florida International,2229
Florida State,52
Fresno State,278
Georgia,61
Georgia Tech,59
Hawaii,62
Houston,248
Idaho,70
Illinois,356
Indiana,84
Iowa,2294
Iowa State,66
Kansas,2305
Kansas State,2306
Kent State,2309
Kentucky,96
Louisiana Tech,2348
Louisiana-Lafayette,309
Louisiana-Monroe,2433
Louisville,97
LSU,99
Marshall,276
Maryland,120
Memphis,235
Miami (FL),2390
Miami (OH),193
Michigan,130
Michigan State,127
Middle Tennessee,2393
Minnesota,135
Mississippi State,344
Missouri,142
Navy,2426
Nebraska,158
Nevada,2440
New Mexico,167
New Mexico State,166
North Carolina,153
North Carolina State,152
North Texas,249
Northern Illinois,2459
Northwestern,77
Notre Dame,87
Ohio,195
Ohio State,194
Oklahoma,201
Oklahoma State,197
Ole Miss,145
Oregon,2483
Oregon State,204
Penn State,213
Pittsburgh,221
Purdue,2509
Rice,242
Rutgers,164
San Diego State,21
San Jose State,23
South Carolina,2579
South Florida,58
Southern California,30
Southern Methodist,2567
Southern Miss,2572
Stanford,24
Syracuse,183
Texas Christian,2628
Temple,218
Tennessee,2633
Texas,251
Texas A&M,245
Texas Tech,2641
Toledo,2649
Troy,2653
Tulane,2655
Tulsa,202
U of Alabama Birmingham,5
U of Central Florida,2116
UCLA,26
UNLV,2439
Utah,254
Utah State,328
UTEP,2638
Vanderbilt,238
Virginia,258
Virginia Tech,259
Wake Forest,154
Washington,264
Washington State,265
West Virginia,277
Western Kentucky,98
Western Michigan,2711
Wisconsin,275
Wyoming,2751
